Tweets,Sentiment
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
Hard Candy Pulls #MeToo Trademark Application After Backlash https://t.co/3B531syDcN,negative
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
"From @marthasjones_  on what #MeToo changed for her. Before it, “When telling my story, I had lapsed into something… https://t.co/ZGxUjUMbvG",neutral
@coldgirlfeverr @j_dirrtyswag @LilKim nah....the self hatred issue goes deeper than gender is THIS...a case of… https://t.co/wdARjzaGab,neutral
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
"RT @ChrisJZullo: Why I #RESIST

#TaxScamBill
#NetNeutrality 
#DACA
#MarchForOurLives 
#ParisAgreement
#OffShoreDrilling
#ArticRefuge
#CFPB…",neutral
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
"RT @TopographicFish: At age 15 we had been talking om AOL, phone, and by mail over a year. Behind me are drawings of me dancing, and checki…",negative
"What about @starsandstripes, @MickMulvaneyOMB? It is the most leftwing outlet written in English. As soon as… https://t.co/DI8PBeQIDJ",positive
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
"RT @aLastingChange: The @EHRC has called for ""urgent action"" to better protect victims of sexual harassment in the workplace. Here are exam…",positive
RT @NBCLA: Jury selection is set to get underway in Bill Cosby’s sexual assault retrial in a cultural landscape changed by the #MeToo movem…,positive
"RT @WriterAwareness: 4 incredible female writers, 4 phenomenal female directors, 1 powerful night of female voices. Do you believe in #Meto…",positive
"I guess her bully husband prefers her job to be Social-media &amp; online safety, all with the goal of developing “mora… https://t.co/ClnXArDt8h",neutral
I'm writing an article about pervasive sexual deviance &amp; want to hear all the ways women are told to 'keep themselv… https://t.co/xHLBxadPWs,positive
"RT @jennyyangtv: #🍚🐰
""Chinese feminists found a way around [Weibo blocking #MeToo hash] they began using #RiceBunny in its place along w th…",neutral
"RT @King_of_Ds: In CNN article, reporters Yoonjung Seo &amp; Eric Levenson describe award winning S. Korean entertainer Seohyun as a “starlet”.…",positive
"RT @atty2thestars: Times are a changing. In the current push for equality... something's happening with divorce settlements and alimony.

#…",neutral
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
"When addressing the issue of #sexualharassment in the workplace, business owners need to understand first that no e… https://t.co/eCZn8i1GKJ",positive
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
"@bmwpfs @Uber It could be worst. You could aboard his car and......

As a woman, you know what I'm talking about(#metoo), right?",negative
RT @helen: watching Ghost Adventures n this fool actually just urged a sex worker ghost to come forward bc of the MeToo Movement LMFAOOOOO…,neutral
RT @AchieveThis: The #MeToo Movement Looms Over Jury Selection in Bill Cosby Case https://t.co/88UdaFs55l https://t.co/y1GeqqItEf,neutral
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
"@The_Godless_Fox Now, ""forgivable?"" We have forgiven people for plenty of horrible things, including murder. We adm… https://t.co/WZbmcCVCxT",negative
@jessphillips @caitlinmoran @stellacreasy i think this name and hashtag is a massive mistake. important campaign bu… https://t.co/lzlB0QQXfX,positive
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
"RT @JustinWelby: Jesus showed respect for all people equally. As we celebrate #IWD2018, in light of #MeToo we’re still painfully aware of t…",positive
"RT @michelleruiz: Groundbreaking: @walmart is clutching its pearls over @Cosmopolitan but Esquire and Men's Health, please proceed with Sex…",neutral
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
"#MeToo movement could impact Bill Cosby's retrial on sexual assault charges when it begins, legal experts say https://t.co/K74SSt2EVc",positive
